ID 6A15795
REF CF 100.0%
100.0MZ 100.0%
2.000GZ 098.6%
3.000GZ 098.2%
4.000GZ 097.9%
5.000GZ 097.5%
6.000GZ 097.0%
7.000GZ 096.4%
8.000GZ 096.0%
9.000GZ 095.6%
10.00GZ 095.4%
11.00GZ 094.8%
12.00GZ 094.4%
13.00GZ 093.6%
14.00GZ 092.6%
15.00GZ 092.7%
16.00GZ 092.1%
17.00GZ 091.4%
18.00GZ 090.9%
00.00GZ 100.0%
