ID 9A43660
REF CF 100.0%
50.00MZ 100.0%
300.0MZ 099.8%
2.000GZ 098.7%
3.000GZ 098.2%
4.000GZ 097.6%
5.000GZ 097.0%
6.000GZ 096.7%
7.000GZ 096.1%
8.000GZ 095.6%
9.000GZ 095.1%
10.00GZ 094.7%
11.00GZ 094.2%
12.30GZ 093.4%
13.00GZ 092.9%
14.00GZ 092.3%
15.00GZ 092.0%
16.00GZ 092.1%
17.00GZ 092.1%
18.00GZ 090.9%
00.00GZ 100.0%
